2025-02-25 02:58:51 configure libnghttp2-14:arm64 1.52.0-1+deb12u2 <none>
2025-02-25 02:58:51 status unpacked libnghttp2-14:arm64 1.52.0-1+deb12u2
2025-02-25 02:58:51 status half-configured libnghttp2-14:arm64 1.52.0-1+deb12u2
2025-02-25 02:58:51 status installed libnghttp2-14:arm64 1.52.0-1+deb12u2
2025-02-25 02:58:51 configure libkrb5support0:arm64 1.20.1-2+deb12u2 <none>
2025-02-25 02:58:51 status unpacked libkrb5support0:arm64 1.20.1-2+deb12u2
2025-02-25 02:58:51 status half-configured libkrb5support0:arm64 1.20.1-2+deb12u2
2025-02-25 02:58:51 status installed libkrb5support0:arm64 1.20.1-2+deb12u2
2025-02-25 02:58:51 configure libsasl2-modules-db:arm64 2.1.28+dfsg-10 <none>
2025-02-25 02:58:51 status unpacked libsasl2-modules-db:arm64 2.1.28+dfsg-10
2025-02-25 02:58:51 status half-configured libsasl2-modules-db:arm64 2.1.28+dfsg-10
2025-02-25 02:58:51 status installed libsasl2-modules-db:arm64 2.1.28+dfsg-10
2025-02-25 02:58:51 configure librtmp1:arm64 2.4+20151223.gitfa8646d.1-2+b2 <none>
2025-02-25 02:58:51 status unpacked librtmp1:arm64 2.4+20151223.gitfa8646d.1-2+b2
2025-02-25 02:58:51 status half-configured librtmp1:arm64 2.4+20151223.gitfa8646d.1-2+b2
2025-02-25 02:58:51 status installed librtmp1:arm64 2.4+20151223.gitfa8646d.1-2+b2
2025-02-25 02:58:51 configure libk5crypto3:arm64 1.20.1-2+deb12u2 <none>
2025-02-25 02:58:51 status unpacked libk5crypto3:arm64 1.20.1-2+deb12u2
2025-02-25 02:58:51 status half-configured libk5crypto3:arm64 1.20.1-2+deb12u2
2025-02-25 02:58:51 status installed libk5crypto3:arm64 1.20.1-2+deb12u2
2025-02-25 02:58:51 configure libsasl2-2:arm64 2.1.28+dfsg-10 <none>
2025-02-25 02:58:51 status unpacked libsasl2-2:arm64 2.1.28+dfsg-10
2025-02-25 02:58:51 status half-configured libsasl2-2:arm64 2.1.28+dfsg-10
2025-02-25 02:58:51 status installed libsasl2-2:arm64 2.1.28+dfsg-10
2025-02-25 02:58:51 configure libssh2-1:arm64 1.10.0-3+b1 <none>
2025-02-25 02:58:51 status unpacked libssh2-1:arm64 1.10.0-3+b1
2025-02-25 02:58:51 status half-configured libssh2-1:arm64 1.10.0-3+b1
2025-02-25 02:58:51 status installed libssh2-1:arm64 1.10.0-3+b1
2025-02-25 02:58:51 configure libkrb5-3:arm64 1.20.1-2+deb12u2 <none>
2025-02-25 02:58:51 status unpacked libkrb5-3:arm64 1.20.1-2+deb12u2
2025-02-25 02:58:51 status half-configured libkrb5-3:arm64 1.20.1-2+deb12u2
2025-02-25 02:58:51 status installed libkrb5-3:arm64 1.20.1-2+deb12u2
2025-02-25 02:58:51 configure openssl:arm64 3.0.15-1~deb12u1 <none>
2025-02-25 02:58:51 status unpacked openssl:arm64 3.0.15-1~deb12u1
2025-02-25 02:58:51 status half-configured openssl:arm64 3.0.15-1~deb12u1
2025-02-25 02:58:51 status installed openssl:arm64 3.0.15-1~deb12u1
2025-02-25 02:58:51 configure readline-common:all 8.2-1.3 <none>
2025-02-25 02:58:51 status unpacked readline-common:all 8.2-1.3
2025-02-25 02:58:51 status half-configured readline-common:all 8.2-1.3
2025-02-25 02:58:51 status installed readline-common:all 8.2-1.3
2025-02-25 02:58:51 configure libreadline8:arm64 8.2-1.3 <none>
2025-02-25 02:58:51 status unpacked libreadline8:arm64 8.2-1.3
2025-02-25 02:58:51 status half-configured libreadline8:arm64 8.2-1.3
2025-02-25 02:58:51 status installed libreadline8:arm64 8.2-1.3
2025-02-25 02:58:51 configure libldap-2.5-0:arm64 2.5.13+dfsg-5 <none>
2025-02-25 02:58:51 status unpacked libldap-2.5-0:arm64 2.5.13+dfsg-5
2025-02-25 02:58:51 status half-configured libldap-2.5-0:arm64 2.5.13+dfsg-5
2025-02-25 02:58:51 status installed libldap-2.5-0:arm64 2.5.13+dfsg-5
2025-02-25 02:58:51 configure ca-certificates:all 20230311 <none>
2025-02-25 02:58:51 status unpacked ca-certificates:all 20230311
2025-02-25 02:58:51 status half-configured ca-certificates:all 20230311
2025-02-25 02:58:52 status installed ca-certificates:all 20230311
2025-02-25 02:58:52 status triggers-pending ca-certificates:all 20230311
2025-02-25 02:58:52 configure libgssapi-krb5-2:arm64 1.20.1-2+deb12u2 <none>
2025-02-25 02:58:52 status unpacked libgssapi-krb5-2:arm64 1.20.1-2+deb12u2
2025-02-25 02:58:52 status half-configured libgssapi-krb5-2:arm64 1.20.1-2+deb12u2
2025-02-25 02:58:52 status installed libgssapi-krb5-2:arm64 1.20.1-2+deb12u2
2025-02-25 02:58:52 configure libcurl3-gnutls:arm64 7.88.1-10+deb12u8 <none>
2025-02-25 02:58:52 status unpacked libcurl3-gnutls:arm64 7.88.1-10+deb12u8
2025-02-25 02:58:52 status half-configured libcurl3-gnutls:arm64 7.88.1-10+deb12u8
2025-02-25 02:58:52 status installed libcurl3-gnutls:arm64 7.88.1-10+deb12u8
2025-02-25 02:58:52 configure gnupg1:arm64 1.4.23-1.1+b1 <none>
2025-02-25 02:58:52 status unpacked gnupg1:arm64 1.4.23-1.1+b1
2025-02-25 02:58:52 status half-configured gnupg1:arm64 1.4.23-1.1+b1
2025-02-25 02:58:52 status installed gnupg1:arm64 1.4.23-1.1+b1
2025-02-25 02:58:52 trigproc libc-bin:arm64 2.36-9+deb12u9 <none>
2025-02-25 02:58:52 status half-configured libc-bin:arm64 2.36-9+deb12u9
2025-02-25 02:58:52 status installed libc-bin:arm64 2.36-9+deb12u9
2025-02-25 02:58:52 trigproc ca-certificates:all 20230311 <none>
2025-02-25 02:58:52 status half-configured ca-certificates:all 20230311
2025-02-25 02:58:52 status installed ca-certificates:all 20230311
2025-02-25 02:58:54 startup packages remove
2025-02-25 02:58:54 status installed gnupg1:arm64 1.4.23-1.1+b1
2025-02-25 02:58:54 remove gnupg1:arm64 1.4.23-1.1+b1 <none>
2025-02-25 02:58:54 status half-configured gnupg1:arm64 1.4.23-1.1+b1
2025-02-25 02:58:54 status half-installed gnupg1:arm64 1.4.23-1.1+b1
2025-02-25 02:58:54 status config-files gnupg1:arm64 1.4.23-1.1+b1
2025-02-25 02:58:54 status not-installed gnupg1:arm64 <none>
2025-02-25 02:58:54 status installed libcurl3-gnutls:arm64 7.88.1-10+deb12u8
2025-02-25 02:58:54 remove libcurl3-gnutls:arm64 7.88.1-10+deb12u8 <none>
2025-02-25 02:58:54 status triggers-pending libc-bin:arm64 2.36-9+deb12u9
2025-02-25 02:58:54 status half-configured libcurl3-gnutls:arm64 7.88.1-10+deb12u8
2025-02-25 02:58:54 status half-installed libcurl3-gnutls:arm64 7.88.1-10+deb12u8
2025-02-25 02:58:54 status config-files libcurl3-gnutls:arm64 7.88.1-10+deb12u8
2025-02-25 02:58:54 status not-installed libcurl3-gnutls:arm64 <none>
2025-02-25 02:58:54 status installed libbrotli1:arm64 1.0.9-2+b6
2025-02-25 02:58:54 remove libbrotli1:arm64 1.0.9-2+b6 <none>
2025-02-25 02:58:54 status half-configured libbrotli1:arm64 1.0.9-2+b6
2025-02-25 02:58:54 status half-installed libbrotli1:arm64 1.0.9-2+b6
2025-02-25 02:58:54 status config-files libbrotli1:arm64 1.0.9-2+b6
2025-02-25 02:58:54 status not-installed libbrotli1:arm64 <none>
2025-02-25 02:58:54 status installed libgssapi-krb5-2:arm64 1.20.1-2+deb12u2
2025-02-25 02:58:54 remove libgssapi-krb5-2:arm64 1.20.1-2+deb12u2 <none>
2025-02-25 02:58:54 status half-configured libgssapi-krb5-2:arm64 1.20.1-2+deb12u2
2025-02-25 02:58:54 status half-installed libgssapi-krb5-2:arm64 1.20.1-2+deb12u2
2025-02-25 02:58:54 status config-files libgssapi-krb5-2:arm64 1.20.1-2+deb12u2
2025-02-25 02:58:55 status installed libkrb5-3:arm64 1.20.1-2+deb12u2
2025-02-25 02:58:55 remove libkrb5-3:arm64 1.20.1-2+deb12u2 <none>
2025-02-25 02:58:55 status half-configured libkrb5-3:arm64 1.20.1-2+deb12u2
2025-02-25 02:58:55 status half-installed libkrb5-3:arm64 1.20.1-2+deb12u2
2025-02-25 02:58:55 status config-files libkrb5-3:arm64 1.20.1-2+deb12u2
